,lat,lon,Logement,Coût_chauffage,Surface_habitable_logement,Etiquette_DPE,Année_construction,Coût_total_5_usages
991,45.734436,4.854402,neuf,375.3,115.5,B,2024.0,699.3
992,45.734436,4.854402,neuf,179.5,63.4,B,2024.0,412.3
993,45.734436,4.854402,neuf,246.6,93.6,A,2024.0,534.7
994,45.734436,4.854402,neuf,151.6,42.9,B,2024.0,339.5
995,45.734436,4.854402,neuf,185.3,61.4,B,2024.0,414.4
996,45.734436,4.854402,neuf,183.6,61.4,B,2024.0,412.7
997,45.734436,4.854402,neuf,137.5,60.0,B,2024.0,364.4
998,45.734436,4.854402,neuf,211.6,72.3,B,2024.0,460.9
999,45.734436,4.854402,neuf,130.0,61.6,B,2024.0,359.8
1000,45.734436,4.854402,neuf,114.5,62.3,A,2024.0,342.9
1001,45.734436,4.854402,neuf,170.7,62.1,B,2024.0,399.0
1002,45.734436,4.854402,neuf,136.1,48.7,B,2024.0,339.0
1003,45.734436,4.854402,neuf,139.1,48.7,B,2024.0,342.0
1004,45.734436,4.854402,neuf,246.6,93.6,A,2024.0,534.7
1005,45.734436,4.854402,neuf,157.0,63.4,B,2024.0,389.8
1006,45.734436,4.854402,neuf,291.2,79.9,B,2024.0,554.7
1007,45.734436,4.854402,neuf,170.7,62.1,B,2024.0,399.0
1008,45.734436,4.854402,neuf,152.4,60.9,B,2024.0,380.5
1009,45.734436,4.854402,neuf,157.0,63.4,B,2024.0,389.8
1010,45.734436,4.854402,neuf,149.1,60.9,B,2024.0,377.2
1011,45.734436,4.854402,neuf,127.2,43.2,B,2024.0,315.8
1012,45.734436,4.854402,neuf,111.2,49.7,B,2024.0,316.7
1013,45.734436,4.854402,neuf,175.6,84.2,A,2024.0,446.6
1014,45.734436,4.854402,neuf,161.7,61.6,B,2024.0,391.4
1015,45.734436,4.854402,neuf,88.1,31.1,B,2024.0,246.1
1016,45.734436,4.854402,neuf,186.0,83.4,A,2024.0,455.4
1017,45.734436,4.854402,neuf,111.2,49.7,B,2024.0,316.7
1018,45.734436,4.854402,neuf,128.2,52.5,B,2024.0,339.0
1019,45.734436,4.854402,neuf,72.3,23.6,C,2024.0,212.0
1020,45.734436,4.854402,neuf,133.5,60.3,B,2024.0,360.9
1021,45.734436,4.854402,neuf,145.9,62.2,B,2024.0,376.8
1022,45.734436,4.854402,neuf,128.2,52.5,B,2024.0,339.0
1023,45.734436,4.854402,neuf,120.3,42.1,B,2024.0,307.4
1024,45.734436,4.854402,neuf,128.2,52.5,B,2024.0,339.0
1025,45.734436,4.854402,neuf,187.1,75.6,B,2024.0,442.6
1026,45.734436,4.854402,neuf,196.0,56.4,B,2024.0,415.7
1027,45.734436,4.854402,neuf,74.6,32.2,B,2024.0,235.6
1028,45.734436,4.854402,neuf,92.6,46.0,B,2024.0,288.5
1029,45.734436,4.854402,neuf,97.4,48.2,B,2024.0,299.0
1030,45.734436,4.854402,neuf,137.5,60.0,B,2024.0,364.4
1031,45.734436,4.854402,neuf,98.3,44.0,B,2024.0,291.3
1032,45.734436,4.854402,neuf,165.9,62.1,B,2024.0,394.1
1033,45.734436,4.854402,neuf,187.1,75.6,B,2024.0,442.6
1034,45.734436,4.854402,neuf,136.6,61.5,B,2024.0,366.2
1035,45.734436,4.854402,neuf,260.7,76.0,B,2024.0,516.7
1036,45.734436,4.854402,neuf,157.2,61.4,B,2024.0,386.2
1037,45.734436,4.854402,neuf,128.3,67.3,A,2024.0,365.7
1038,45.734436,4.854402,neuf,225.7,75.6,B,2024.0,481.2
1039,45.734436,4.854402,neuf,161.9,60.0,B,2024.0,388.7
1040,45.734436,4.854402,neuf,74.6,32.2,B,2024.0,235.6
1041,45.734436,4.854402,neuf,74.6,32.2,B,2024.0,235.6
1042,45.734436,4.854402,neuf,257.2,77.6,B,2024.0,516.1
1043,45.734436,4.854402,neuf,320.4,86.0,B,2024.0,594.6
1044,45.734436,4.854402,neuf,292.6,94.5,B,2024.0,578.9
1045,45.734436,4.854402,neuf,341.9,90.6,B,2024.0,625.3
1046,45.734436,4.854402,neuf,273.0,98.8,A,2024.0,567.0
1047,45.734436,4.854402,neuf,246.6,93.6,A,2024.0,534.7
1048,45.734436,4.854402,neuf,142.1,47.8,B,2024.0,342.6
1049,45.734436,4.854402,neuf,210.2,66.3,B,2024.0,448.5
1050,45.734436,4.854402,neuf,198.7,75.0,B,2024.0,452.9
1051,45.734436,4.854402,neuf,303.9,101.7,B,2024.0,608.0
1052,45.734436,4.854402,neuf,133.5,60.3,B,2024.0,360.9
1053,45.734436,4.854402,neuf,155.4,68.7,A,2024.0,398.0
1054,45.734436,4.854402,neuf,128.0,50.1,B,2024.0,336.8
1055,45.734436,4.854402,neuf,76.8,32.2,B,2024.0,237.7
1056,45.734436,4.854402,neuf,117.8,64.4,A,2024.0,349.9
1057,45.734436,4.854402,neuf,137.5,60.0,B,2024.0,364.4
1058,45.734436,4.854402,neuf,155.3,67.1,B,2024.0,392.3
1059,45.734436,4.854402,neuf,221.7,75.6,B,2024.0,477.2
1060,45.734436,4.854402,neuf,257.1,103.9,A,2024.0,565.3
1061,45.734436,4.854402,neuf,132.6,43.1,B,2024.0,321.0
1062,45.734436,4.854402,neuf,205.7,62.1,B,2024.0,434.0
1063,45.734436,4.854402,neuf,252.5,87.1,B,2024.0,525.5
1064,45.734436,4.854402,neuf,252.2,93.6,A,2024.0,540.3
1065,45.734436,4.854402,neuf,133.4,60.2,B,2024.0,360.6
1066,45.734436,4.854402,neuf,157.2,61.4,B,2024.0,386.2
1067,45.734436,4.854402,neuf,136.1,48.7,B,2024.0,339.0
1068,45.734436,4.854402,neuf,147.1,48.7,B,2024.0,350.0
1069,45.734436,4.854402,neuf,102.0,42.5,B,2024.0,290.1
1070,45.734436,4.854402,neuf,126.8,62.5,A,2024.0,355.5
1071,45.734436,4.854402,neuf,225.7,94.6,A,2024.0,512.2
1072,45.734436,4.854402,neuf,97.8,47.1,B,2024.0,296.5
1073,45.734436,4.854402,neuf,138.8,59.7,B,2024.0,365.1
1074,45.734436,4.854402,neuf,164.8,82.6,A,2024.0,432.8
1075,45.734436,4.854402,neuf,187.1,75.6,B,2024.0,442.6
1076,45.734436,4.854402,neuf,170.7,62.1,B,2024.0,399.0
1077,45.734436,4.854402,neuf,102.0,42.5,B,2024.0,290.1
1078,45.734436,4.854402,neuf,187.1,75.6,B,2024.0,442.6
